datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school
2015-01-03 01:00:00,970.345,25.865258789062523,0.018576382,0.016174316,21.85054581787518,23.482446289062523,0.017271755,0.0018553734,10.328948729384228,22.662133789062523,0.016562222,0.09609985,5.364147952093894,0,0,0
2015-01-03 02:00:00,912.1755,25.899255371093773,0.018653292,0.016418457,22.16694427698824,23.399255371093773,0.017264742,0.0013270378,10.68151713707418,22.578942871093773,0.016509432,0.087646484,5.57247134626166,0,0,0
2015-01-03 03:00:00,900.2688,25.937280273437523,0.01876786,0.0154800415,22.454910876263515,23.343530273437523,0.017211463,0.0014281273,10.874923789974078,22.531030273437523,0.016479041,0.07873535,5.871183745099925,0,0,0
2015-01-03 04:00:00,889.9538,25.957543945312523,0.018890057,0.016273499,22.11048086898637,23.238793945312523,0.017127667,0.0025987625,10.518620160775365,22.512231445312523,0.016486797,0.06838989,5.883621114044925,0,0,0
2015-01-03 05:00:00,893.6865,25.973840332031276,0.018981151,0.017280579,21.18608851769688,23.075402832031276,0.017058544,0.0017290115,9.73358891774275,22.481652832031276,0.016455822,0.06436157,5.6117235593949095,0,0,0
2015-01-03 06:00:00,879.2323,26.034143066406276,0.019079996,0.014541626,20.06203781593797,22.995080566406276,0.01702769,0.0014853477,9.087273159632828,22.456018066406276,0.016409708,0.061538696,5.280351132074735,0,0,0
2015-01-03 07:00:00,932.4876,26.691491699218773,0.019331587,0.0066452026,21.62349567450987,24.285241699218773,0.017424239,0.0021762848,11.395393424647096,22.949304199218773,0.016569747,0.060897827,5.126910803396752,0,0,0
2015-01-03 08:00:00,1048.972,27.6740661621094,0.019369703,0.0068626404,23.775316995619374,26.1896911621094,0.018072706,0.0045394897,12.872865998530138,24.0881286621094,0.016676527,0.05619812,5.060610609341514,0,0,0
2015-01-03 09:00:00,1167.9074,28.760400390625023,0.019171301,0.010231018,24.636151504191965,27.916650390625023,0.018454138,0.0042915344,14.548026668797892,25.479150390625023,0.016645972,0.051071167,4.915658462517222,0,0,0
2015-01-03 10:00:00,1257.5069,29.766656494140648,0.018759238,0.009017944,25.86267135806722,29.172906494140648,0.018675314,0.0049209595,15.081687878521311,26.704156494140648,0.016607748,0.058685303,4.685579709203943,0,0,0
2015-01-03 11:00:00,1254.583,30.523767089843773,0.018408278,0.004322052,26.828081512504795,30.070642089843773,0.018820265,0.0074386597,15.287239228439486,27.648767089843773,0.01673744,0.07723999,4.069101872149303,0,0,0
2015-01-03 12:00:00,1216.9004,30.981805419921898,0.018133579,0.0027980804,26.654310451125912,30.638055419921898,0.018843113,0.0098724365,15.28092683228068,28.138055419921898,0.017263828,0.095458984,3.122228324072665,0,0,0
2015-01-03 13:00:00,1202.1556,31.211206054687523,0.017904576,0.0026474,25.754160554921448,30.883081054687523,0.018789586,0.01342392,15.038157338831809,28.336206054687523,0.017370518,0.11364746,2.9005313797522287,0,0,0
2015-01-03 14:00:00,1197.2616,31.156518554687523,0.017744431,0.0014648438,24.90217224205645,30.828393554687523,0.018728623,0.016586304,14.698079322367311,28.234643554687523,0.01738585,0.1281128,2.9147026590202776,0,0,0
2015-01-03 15:00:00,1169.0034,30.816766357421898,0.01765308,0.00040137768,24.21445513833595,30.457391357421898,0.018713566,0.018455505,14.07604796605828,27.910516357421898,0.01740894,0.12640381,3.026640617374741,0,0,0
2015-01-03 16:00:00,1136.7054,30.057214355468773,0.017706675,2.7008355e-05,23.76680031302364,29.775964355468773,0.018935008,0.018684387,12.472077945213634,27.291589355468773,0.017500682,0.11956787,3.247855434040348,0,0,0
2015-01-03 17:00:00,1101.9447,28.802453613281276,0.018042427,8.3666564e-13,22.75511413103021,28.474328613281276,0.019415718,0.024085999,9.446227274250653,26.239953613281276,0.017706733,0.119659424,3.2905248773454923,0,0,0
2015-01-03 18:00:00,1107.0406,27.366357421875023,0.018568844,8.368557e-13,20.678809423651245,26.569482421875023,0.019148678,0.028442383,7.0846438511272005,24.960107421875023,0.017905086,0.11782837,3.331619551380986,0,0,0
2015-01-03 19:00:00,1142.1548,26.613946533203148,0.018851262,0.0004069805,19.926386345816304,25.817071533203148,0.018851262,0.024963379,7.028678289458417,24.238946533203148,0.017653447,0.110961914,4.027541451693711,0,0,0
2015-01-03 20:00:00,1097.2334,26.267266845703148,0.018889746,0.0014262199,19.428423982589678,25.251641845703148,0.018554052,0.021995544,7.178384138319728,23.736016845703148,0.017432531,0.105407715,4.505689209898423,0,0,0
2015-01-03 21:00:00,1074.6544,26.083520507812523,0.018859386,0.0024576187,19.569516801750726,24.771020507812523,0.018256664,0.018157959,7.502368873332466,23.411645507812523,0.017356396,0.09338379,4.447957926907971,0,0,0
2015-01-03 22:00:00,1041.3244,25.9562927246094,0.018775864,0.0028734207,19.65992257988744,24.3703552246094,0.017967148,0.013534546,7.758983976764263,23.1594177246094,0.017249985,0.08782959,4.26351306991748,0,0,0
2015-01-03 23:00:00,999.634,25.861291503906276,0.01866179,0.0031547546,19.702977105598293,24.056604003906276,0.017792039,0.009838104,7.965630478555885,22.939416503906276,0.017105393,0.09085083,4.160836315178154,0,0,0
2015-01-04 00:00:00,968.0526,25.769189453125023,0.01855488,0.0032510757,19.700351692584665,23.823876953125023,0.01765461,0.008983612,8.157669764630677,22.730126953125023,0.016922189,0.09188843,4.209795611804707,0,0,0
2015-01-04 01:00:00,944.0556,25.681817626953148,0.01849374,0.003897667,19.89334975261539,23.627130126953148,0.017540066,0.0064811707,8.287432557258809,22.533380126953148,0.016746609,0.08557129,4.4330891654291165,0,0,0
2015-01-04 02:00:00,928.7193,25.602319335937523,0.01848609,0.0046253204,19.86387111956006,23.477319335937523,0.017448492,0.0030555725,8.476266654903519,22.360131835937523,0.016609259,0.08480835,4.67343933656402,0,0,0
2015-01-04 03:00:00,909.5566,25.572656250000023,0.018447837,0.008533478,20.362022908559723,23.369531250000023,0.017387351,0.0015416145,8.692402541212445,22.244531250000023,0.01650997,0.08291626,4.924833043168294,0,0,0
2015-01-04 04:00:00,894.6543,25.547143554687523,0.018409494,0.008693695,20.651573656911378,23.281518554687523,0.01732612,0.0011730194,8.831439284707649,22.148706054687523,0.016410593,0.084350586,5.111985618624807,0,0,0
2015-01-04 05:00:00,884.6659,25.527856445312523,0.018401654,0.008224487,20.48153763244016,23.207543945312523,0.017264875,0.0026435852,8.900691882039503,22.074731445312523,0.016349347,0.0899353,5.328663267091503,0,0,0
